sample,date,variety,fruit.number,site,mass,tissue,swain.prop,log1.swain,total.fruit,fruit.nh,small,large,seed.number,seed.nh,seed.crush,presence,elevation,day,lat,long,BIO1,BIO12,BIO15
19-1B,5/21/19,yuccanus,52,19-1,26.21,seed,3.85667804,1.580354673,30,26,1,3,50,50,0,1,693,141,35.0541667,-114.2440834,190,160,42
19-1C,5/21/19,yuccanus,18,19-1,18.26,seed,2.86233802,1.351272705,19,6,2,11,44,31,13,1,693,141,35.0541667,-114.2440835,190,160,42
19-1E,5/21/19,yuccanus,11,19-1,43.69,seed,2.36653461,1.21388391,11,5,3,3,50,49,1,1,693,141,35.0541667,-114.2440837,190,160,42
19-1F,5/21/19,yuccanus,8,19-1,24.02,seed,0,0,8,6,0,2,50,46,4,0,693,141,35.0541667,-114.2440838,190,160,42
19-1G,5/21/19,yuccanus,11,19-1,31.93,seed,1.65422584,0.976153026,11,5,2,4,50,50,0,1,693,141,35.0541667,-114.2440839,190,160,42
19-1H,5/21/19,yuccanus,11,19-1,24.81,seed,5.90910215,1.932839694,11,7,1,3,50,42,8,1,693,141,35.0541667,-114.244084,190,160,42
19-1I,5/21/19,yuccanus,24,19-1,32.02,seed,2.65090858,1.294976063,24,7,7,10,50,50,0,1,693,141,35.0541667,-114.2440841,190,160,42
19-1L,5/21/19,yuccanus,8,19-1,24.75,seed,0,0,8,8,0,0,50,29,21,0,693,141,35.0541667,-114.2440844,190,160,42
19-2A,5/21/19,yuccanus,41,19-2,28.04,seed,5.35981174,1.849998776,30,22,0,8,50,50,0,1,968.1,141,34.6887333,-113.67585,165,275,46
19-2B,5/21/19,yuccanus,13,19-2,26.33,seed,0,0,13,6,3,4,32,27,5,0,968.1,141,34.6887333,-113.67586,165,275,46
19-2C,5/21/19,yuccanus,17,19-2,21.72,seed,0,0,19,5,5,9,50,41,9,0,968.1,141,34.6887333,-113.67587,165,275,46
19-2D,5/21/19,yuccanus,14,19-2,23.15,seed,2.82616593,1.341863239,14,6,4,4,41,41,0,1,968.1,141,34.6887333,-113.67588,165,275,46
19-2E,5/21/19,yuccanus,19,19-2,23.35,seed,5.20635604,1.825573935,22,5,2,15,44,44,0,1,968.1,141,34.6887333,-113.67589,165,275,46
19-2F,5/21/19,yuccanus,26,19-2,28.72,seed,14.40045747,2.734397215,26,14,7,5,50,50,0,1,968.1,141,34.6887333,-113.6759,165,275,46
19-2G,5/21/19,yuccanus,25,19-2,30.43,seed,3.58992547,1.523863786,25,13,10,2,50,50,0,1,968.1,141,34.6887333,-113.67591,165,275,46
